Clone,Rater,Maternal Parent,Paternal Parent,Cross,EVAL Year,EVAL Location,Rel/BRD,Mature Leaf Color,Branching,Plant Type,Climbing,Flower Habit,Savoy,Vigor,Color Uniformity,Overall App.,Comments,,Breeding
9677-034,DG,,,,2018,HCRS,9,9,6,2,,5,,3,4,4,yellow red tip low vogor but vg base colr. tips dark for this base. breeding only,,
9677-041,DG,,,,2018,HCRS,1,1,6,3;4,,5,,6,6,6,lime illusion. Meri pick. goid even tone and compact habit. x to red illusion with dark color,,
9677-046,DG,,,,2018,HCRS,1;12,1,6,3;4;6,,4,,7,6,6,twrener lime dmall leaves upright tips good look. send for containers? probably too many flowers,,
9678-004,DG,,,,2018,HCRS,,,,,,,,,,Ken pick for dark red tps. showing virus now. drop,,,
9679-018,DG,,,,2018,HCRS,12,1,6,3;4,,0,,5,6,5,lobed lime. not quite sc lobes too fat.variable leaf shape. light lime. long upright branches.maybe good for container.one dead here. send.,,
9679-043,DG,,,,2018,HCRS,8,1,6,3;4,,5,,6,5,5,lime tweener with good veins top and bottom,,
9679-053,DG,,,,2018,HCRS,8,2,5,5;4,,3,,6,5,6,illusion lime with good veins top and bottom.slight savoy. some bleaching. breeding only.,,
9679-063,DG,,,,2018,HCRS,6,1,3;4,,,5,,4,4,4,lime hastate sulfer with white flowers. breeding only,,
9681-004,DG,,,,2018,HCRS,4;3;6,1,5,3;4,,5,,5,5,5,heart lime white flowers some savoy. some blea hng here. breeding only,,
9681-018,DG,,,,2018,HCRS,4,1,6,2;4,,3,,6,6,6,limeeith variable lobes cool look x into lobe group.,,
9681-077,DG,,,,2018,HCRS,6,1,4,2;4,,5,,4,6,4,even tonef lime with white flowers.breeding only,,
9682-036,DG,,,,2018,HCRS,4,1,6,3;4,,4,,5,7,5,even toned lime variable lobing. x for ivy group,,
9683-003,DG,,,,2018,HCRS,1;12,0,5,3;4,,0,,5,5,6,yellow illusion with bronze tips. some slight bleaching. very nice for a yellow. x into reds for sc and il,,
9683-010,DG,,,,2018,HCRS,1,1,5,3;4,,4,,6,5,6,yellow green illusion. very nice. x into all good tweener reds. vg plant habit,,
9684-029,DG,,,,2018,HCRS,1;12,0,3,3;4,,5,,4,4,4,yellow sc low vigor. bronze tips breeding only,,
9685-001,DG,,,,2018,HCRS,3;4;8,1,5,3;4,,5,,5,5,5,lime heart with savoy and veins. sone bleaching. send as complement to Medusa type?,,
9685-012,DG,,,,2018,HCRS,1,1,6,3;4,,5,,5,5,5,lime illusion deep lobes some blesching thin stems. x to red tweeners and sc eith good color,,
9687-030,DG,,,,2018,HCRS,4,1,4,3;4,,0,,5,5,5,spiky leaved yellow green some bleaching. x into lobe group,,
9689-012,DG,,,,2018,HCRS,1;12,0,4,3,,4,,4,5,4,yellow tweener. good uniformity for yellow.  x into dark reds 8998 family? sl virus,,
9690-002,DG,9132-010,OP,9132-010xOP,2018,HCRS,2;3,p4,4,3;4,,3,,4,7,6,dark purple hesrt open habit .fertile. ,,
9691-015,DG,9133-010,OP,9133-010xOP,2018,HCRS,4,p1,6,6;4,,4,,7,5,5,purple lobed very upright tips. send to pw for containers,,
9692-003,DG,9153-004,OP,9153-004xOP,2018,HCRS,,,,,,,,,,drop. unexceptional,,,
9692-008,DG,9153-004,OP,9153-004xOP,2018,HCRS,4,6,4,3;4,,4,,4,4,4,lobed purple pooe color fine Savoy. crownish spiky leaf,,
9694-001,DG,9157-001,OP,9157-001xOP,2018,HCRS,4;11,6,6,3;4,,0,,6,4,5,purple lobed with crown background. low growing but upright. tropicsl look. needs color.,,
9694-003,DG,9157-001,OP,9157-001xOP,2018,HCRS,11;4,2,5,3;6,,3,,5,4,4,crown purple with wavy margin. poor color,,
9694-020,DG,9157-001,OP,9157-001xOP,2018,HCRS,11,p1,5,3;9,,4,,5,5,5,small leaved purple between sc and crown. poor colir good plant habit. x into sprawling purples with better color,,
9694-038,DG,9157-001,OP,9157-001xOP,2018,HCRS,4,6,5,3;5,,0,,6,4,5,crownish purple. ebg. meatball. ginkgo leaf base.,,
9694-039,DG,9157-001,OP,9157-001xOP,2018,HCRS,11,6,6,3;6,,3,,4,3,4,crown with very poor color good plant habit breeding only,,
9694-062,DG,9211-001,OP,9211-001xOP,2018,HCRS,1;12,11,4,34,,5,,6,5,5,tweener red ebg. good tone slight savoy. breeding only,,
9694-064,DG,9211-001,OP,9211-001xOP,2018,HCRS,1;12,12,4,6,,4,,5,6,5,very light bronze dijon. x to dark sc or illusion.,,
9694-065,DG,9211-001,OP,9211-001xOP,2018,HCRS,12;1,10,6,3;6,,0,,7,5,6,light bronze tweener. very nice tone almost pinkish. send,,
9694-070,DG,,,,2018,HCRS,4,2,4,2;5,,0,,6,7,6,very cool green with deep scalloped teeth. mestbal. half purple? half lime? x to red and limes with teeth and color. similar to Medusa?,,
9695-024,DG,9209-014,OP,9209-014xOP,2018,HCRS,4,p2,5,6;4,,4,,6,6,5,lobed purp variable lobes upright tips. send to pw for containers,,
9695-026,DG,9209-014,OP,9209-014xOP,2018,HCRS,4,p4,5,3;4;6,,5,,4,6,6,nice purple hastate. good color. open habit. x to best purp hastate,,
9695-029,DG,9209-014,OP,9209-014xOP,2018,HCRS,4,p1,5,6;4,,6,,5,4,5,purple lobed flowering. upright tips for containers.send to pw,,
9695-034,DG,9209-014,OP,9209-014xOP,2018,HCRS,4,p1,4,6;4,,4,,6,4,4,lobed purple upright tips flowering.send to pw for containers,,
9698-011,DG,9211-001,OP,9211-001xOP,2018,HCRS,1,10,4,3,,4,,5,6,5,light bronze illusion. very deep lobes. good base color. ebb. x to dark sc or tweener.,,
9698-019,DG,9211-001,OP,9211-001xOP,2018,HCRS,1;12;8,12,4,3;6,,0,,8,5,5,bronze yellow with savoy and veins vigorous. good tone. x to dark il with thin lobes?.,,
9699-011,DG,,,,2018,HCRS,1;12,1,6,3;6,,3,,6,6,6,tweener lime with smaller leaves. light bronzing on tips. slight trailing may be goid for containers. ADV? change ratings to stake 6067.,,
97-079 ,DG,03 SSR SDLG,,,2018,HCRS,,0,-,mcom,,b,,1,,,"new Source of yellow.  Bright yellow color, badly burned.  Test heritability",,
9704-007,DG,9219-019,OP,9219-019xOP,2018,HCRS,5,p1,7,3;4;8,,3,,6,4,4,climbing frombo seed. poor climber. breeding only,,
9704-019,DG,9219-019,OP,9219-019xOP,2018,HCRS,4,p1,5,6;4,,4,,5,4,4,lobed purple with upright tips. send to pe for containers,,
9704-023,DG,9219-019,OP,9219-019xOP,2018,HCRS,1,p4,4,3;4,,0,,6,6,6,dark illusion type. big purple leaves. tropical look. no fit for series,,
9705-012,DG,9330-008,OP,9330-008xOP,2018,HCRS,4,6,2,3;4,,0,,4,3,4,purple savou. poor color vg savoy. thick stems. breeding only,,
9705-018,DG,9330-008,OP,9330-008xOP,2018,HCRS,4,6,4,3;4,,0,,3,4,4,saviy purp poor color good savoy. breeding only,,
9722-032,DG,8550-014,OP ILL,8550-014xOP ILL,2018,HCRS,1,11,5,3,,3,,5,5,5,ebg red illusion. good plant habit. nice leaf shape. x t tweenet ot il with good color,,
9722-051,DG,8550-014,OP ILL,8550-014xOP ILL,2018,HCRS,12,10,5,3;4,,0,,5,6,6,bronze sc  tweener. nice tone compact x to darker red,,
9724-021,DG,8948-001,OP,8948-001xOP,2018,HCRS,1,11,6,3;4,,0,,4,6,6,nice meatball ref illusion good color and leaf shape. a little weak here. x for illusion. send? meri +1,,
9724-031,DG,8948-001,OP,8948-001xOP,2018,HCRS,1;12,11,5,3;6,,0,,7,6,6,red tweener. vg color a little too vigorous and trailing. x onto thin lobef illusion for color,,
9725-002,DG,8948-001,OP ILL,8948-001xOP ILL,2018,HCRS,1,11,6,2;4,,0,,5,4,5,illusion red meatball. ebg but good initial color. dark,,
9725-022,DG,8948-001,OP ILL,8948-001xOP ILL,2018,HCRS,1,11,4,3;6,,0,,6,5,5,deeply lobed red. slmost illusion but fat central lobe. some ebg. overall good color and plant habit,,
9725-034,DG,8948-001,OP ILL,8948-001xOP ILL,2018,HCRS,1,11,4,3;4,,4,,5,6,6,tweener red with good color. very slight ebg only a couple leaves. good plant habit. nice,,
9725-065,DG,8948-001,OP ILL,8948-001xOP ILL,2018,HCRS,1;11,10,5,3,,0,,5,6,6,crownish red tweener with good color. slight ebg and frosting.,,
9725-076,DG,8948-001,OP ILL,8948-001xOP ILL,2018,HCRS,,,,,,,,,,jim pick. illusion type.bebg good pkant habit.,,,
9728-002,DG,8967-009,OP,8967-009xOP,2018,HCRS,1,11,7,2;4,,3,,5,5,5,meatball red illusion. Meri pick. lots of thin branches. color okay.ebg. x to trailing w good color,,
9729-037,DG,8967-011,OP ILL,8967-011xOP ILL,2018,HCRS,1,10,6,3;4,,0,,6,5,5,red illusion ebg ebb. breeding only. good plant habit. x to color,,
9729-101,DG,8967-011,OP ILL,8967-011xOP ILL,2018,HCRS,1;12,11,5,3;4,,3,,5,6,6,red illusion type small leaves. slight ebg. good plant habit.,,
9729-126,DG,8967-011,OP ILL,8967-011xOP ILL,2018,HCRS,1;12,11,6,3;4,,0,,7,7,6,red tweener good color and plant hjabit.holds color well.,,
9729-158,DG,8967-011,OP ILL,8967-011xOP ILL,2018,HCRS,1,11,7,2;4,,0,,4,6,5,meatball illusion red Meri pick. good iniformity but not the best color. x to good color.,,
9729-167,DG,8967-011,OP ILL,8967-011xOP ILL,2018,HCRS,1,10,5,3;+,,5,,6,6,5,red il tye. fat central lobe. good color but ebb.x to thinner obed illusion.,,
9729-169,DG,8967-011,OP ILL,8967-011xOP ILL,2018,HCRS,1;12,10,5,3;4,,4,,6,6,7,very nice tweener red. good color. leaf not perfect illueion but close. advanced? meri ken dom pick.,,
9732-006,DG,9057-002,OP,9057-002xOP,2018,HCRS,4,13,4,3;4,,6,,4,0,4,matgin type with unusual expression. x into reds,,
9733-005,DG,9057-004,OP,9057-004xOP,2018,HCRS,4,13,6,2;5,,3,,5,0,5,margin type. very compact for this type. poor color. x into reds,,
9750-002,DG,9450-006,OP,9450-006xOP,2018,HCRS,12;4,p3,5,3;4,,4,,5,6,6,dark pur sc with some savoy. open habit. flowers. x into savoy for color?,,
9752-001,DG,9453-002,OP,9453-002xOP,2018,HCRS,1,p4,6,3;4,,3,,5,6,6,Meri pick. purple illusion purp tips.flowers. nice open habit.,,
9753-001,DG,9458-002,OP,9458-002xOP,2018,HCRS,1,p3,6,3;4,,3,,6,7,7,very nice illusion purple.bnot as upright meatball as mid la e. jim pick. send to pw,,
9757-008,DG,,,,2018,HCRS,1,1,5,3;4,,6,,5,5,4,lime illusion. flowering thin lobes. x to red tweeners,,
9757-015,DG,,,,2018,HCRS,4;1,1,3,2;4,,0,,3,6,4,lime eith extremely thin lobes. los vigor. ,,
9757-016,DG,,,,2018,HCRS,4;1,1,6,2;4,,0,,4,5,5,lime illusion extremely thin lobes. color okay. meatball,,
9779-010,DG,8528-003,8407-043,8528-003x8407-043,2018,HCRS,10,10,4,3;4,,0,,6,3,5,bw red with bad color ebg. good teeth. tips held upright showing undersides of leaves. picked for tips. Half red. Meri +1,,
9779-011,DG,8528-003,8407-043,8528-003x8407-043,2018,HCRS,10,1,5,6,,0,,6,4,5,half red bw with long lobed teeth. ebb. trailing breeding only x to red heart,,
9779-014,DG,8528-003,8407-043,8528-003x8407-043,2018,HCRS,10,5,4,3;4,,0,,6,3,4,half red with poor color. pretty good teeth and plant habit. x to better red,,
9779-016,DG,8528-003,8407-043,8528-003x8407-043,2018,HCRS,10,5,5,3;4,,0,,6,4,4,haf red bw. good teeth poor color. x into good red,,
9781-001,DG,,,,2018,HCRS,3;4,2,6,3;4,,0,,7,5,6,light lime heart with savoy. upright open habit. some cupping. leaf curls around at base. bleaching. use for cups savoy,,
9791-021,DG,,,,2018,HCRS,3,0,5,3;4;6,,0,,6,4,5,yellow heart with small leaves. some bleaching. nice open habit and upright tips half red?  to dark reds,,
9791-023,DG,,,,2018,HCRS,3;10,0,5,3;4,,0,,5,5,5,yellow heart with some teeth. some bleaching. half red? x into reds,,
9799-001,DG,9404-001,8737-015,9404-001x8737-015,2018,HCRS,4,6,4,3;4,,0,,6,3,4,jim pick. half red savoy thick stems.,,
9799-003,DG,9404-001,8737-015,9404-001x8737-015,2018,HCRS,10,10,5,3;4,,0,,6,5,5,half red bw. okay teeth.excellent color for half red. x to other hlf red with good teeth.,,
97A-45,DG,SSR SDLG,,,2018,HCRS,,"0,1",3,mcom- sl tr,,b6,,1,,,"New source of yellow.  Yellow with orange tips.  Test heritability, Awesome tips",,
9800-001,DG,9404-001,9003-017,9404-001x9003-017,2018,HCRS,10,5,5,3;4,,0,,7,3,4,half red bw. good teeth. poor color. x into color.,,
9802-010,DG,1835-01V,6879-008,1835-01Vx6879-008,2018,HCRS,5,p1,6,2;4;8,,3,,4,4,4,climbing purple. poor poor and climbing,,
9802-013,DG,1835-01V,6879-008,1835-01Vx6879-008,2018,HCRS,,,,,,,,,,,,,
9802-014,DG,1835-01V,6879-008,1835-01Vx6879-008,2018,HCRS,,,,,,,,,,best color in climber poor climbing. meri pick. jim pick,,,
9802-018,DG,1835-01V,6879-008,1835-01Vx6879-008,2018,HCRS,,,,,,,,Climbing,,climbing purp. good color for group. Meri pick,,,
9804-004,DG,,,,2018,HCRS,5,1,7,8,,0,,5,5,5,climbing yellow green. done bleaching. nice. send,,
9805-001,DG,2894-104,N29,2894-104xN29,2018,HCRS,5,12,6,3;8,,0,,5,4,5,bronze climber. not best climbing. breeding only,,
9808-004,DG,6879-008,N29,6879-008xN29,2018,HCRS,5,p1,6,3;4;8,,4,,6,4,5,best purple climber. poor color. flowering. send.,,
9808-006,DG,6879-008,N29,6879-008xN29,2018,HCRS,5,p1,7,3;4;8,,4,,5,4,4,purple climber. poor color and climbing breeding only. c to colir then back cross ,,
9808-010,DG,6879-008,N29,6879-008xN29,2018,HCRS,,,,,,,,,,,,,
9808-014,DG,6879-008,N29,6879-008xN29,2018,HCRS,,,,,,,,,,,,,
9808-016,DG,6879-008,N29,6879-008xN29,2018,HCRS,,,,,,,,Climbing,,cl8mbing purp. poor color Meri pick. flowers,,,
9808-024,DG,6879-008,N29,6879-008xN29,2018,HCRS,,,,,,,,,,,,,
9808-039,DG,6879-008,N29,6879-008xN29,2018,HCRS,,,,,,,,,,,,,
9810-007,DG,,,,2018,HCRS,4,1,5,3,,3,,4,6,5,yellow green with good uniformity. well branched thin stems. ,,
9810-008,DG,,,,2018,HCRS,12,0,4,3,,0,,4,4,4,lobed yellow with bronze tips. x into dark sc?,,
9822-022,DG,N28,6879-008,N28x6879-008,2018,HCRS,,,,,,,,,,,,,
9822-046,DG,N28,6879-008,N28x6879-008,2018,HCRS,,,,,,,,,,,,,
9822-060,DG,N28,6879-008,N28x6879-008,2018,HCRS,,,,,,,,,,,,,
9823-001,DG,N29,2894-104,N29x2894-104,2018,HCRS,5,10,7,5;6,,0,,6,3,4,bronze climber. poor color.bteeding only. not best climbing.,,
9824-016,DG,N29,6879-008,N29x6879-008,2018,HCRS,,,,,,,,,,,,,
9824-032,DG,N29,6879-008,N29x6879-008,2018,HCRS,,,,,,,,,,,,,
9824-044,DG,N29,6879-008,N29x6879-008,2018,HCRS,,,,,,,,,,,,,
9824-086,DG,N29,6879-008,N29x6879-008,2018,HCRS,,,,,,,,,,,,,
9824-096,DG,N29,6879-008,N29x6879-008,2018,HCRS,,,,,,,,,,,,,
9824-100,DG,,,,2018,HCRS,5,1,6,8,,0,,4,4,4,yellow green climber.bleaching. not best climber. breeding only.,,
9824-102,DG,,,,2018,HCRS,5,1,6,8,,0,,4,4,4,climbing yellow green. bleaching .good climber. breeding only,,
9824-104,DG,,,,2018,HCRS,5,1,7,2;8,,0,,5,4,5,yellow lome climber.blesching. inconsistent leaf shape. ,,
9833-001,DG,8924-007,8663-001,8924-007x8663-001,2018,HCRS,1;4,6,6,3;5,,0,,5,5,5,deeply lobed purple. very upright.similar to mid lace. x for tropicsl look. poor color,,
9840-002,DG,8213-008,8967-011,8213-008x8967-011,2018,HCRS,1;12,11,5,3;4,,3,,7,6,6,tweener red dark.good plant habit. big leaf. some leaves ebg. overall vg. repeat cross,,
9840-004,DG,8213-008,8967-011,8213-008x8967-011,2018,HCRS,1,11,5,3;4,,0,,6,5,5,tweener red dark.good lant jabit. big leaf. slightly undulating margin. some ebg.,,
9851-012,DG,8948-001,8998-002 possible self,8948-001x8998-002 possible self,2018,HCRS,1,11,4,3;4,,3,,5,6,5,nice red illusion.not very vigorous. good color,,
9851-026,DG,8948-001,8998-002 possible self,8948-001x8998-002 possible self,2018,HCRS,1,11,3,3,,0,,4,5,5,il type good color but slight frosting. x to meatball illusion with branches,,
9851-035,DG,8948-001,8998-002 possible self,8948-001x8998-002 possible self,2018,HCRS,12,11,5,3;4,,0,,6,6,6,sc with vg color and tone. meatball. adv?,,
9851-047,DG,8948-001,8998-002 possible self,8948-001x8998-002 possible self,2018,HCRS,12,11,4,3;4,,0,,4,5,5,small leaved red sc . good color .x into other good red sc or il,,
9851-063,DG,8948-001,8998-002 possible self,8948-001x8998-002 possible self,2018,HCRS,1,11,4,3;4,,0,,4,6,5,illusion red vg color leaf a little sloppy. x to meatball illusion,,
9852-019,DG,8948-001,self,8948-001xself,2018,HCRS,1;12,11,4,3,,0,,4,6,5,nice red tweener good color. ebg. breeding only. low vigor,,
9852-031,DG,8948-001,self,8948-001xself,2018,HCRS,1,11,5,3;6,,0,,5,5,5,red illusion. ebg. x to good color tweener or illusion,,
9853-001,DG,8965-001,8948-001,8965-001x8948-001,2018,HCRS,1;12,10 11,4,3;4,,0,,5,5,5,meri +1. tweener red good color but ebg,,
9854-001,DG,8965-001,8967-011,8965-001x8967-011,2018,HCRS,1,11,5,3;4,,0,,5,6,6,vg ref almost illusion. good color. x to thinner lobes,,
9856-001,DG,8965-001,9000-001,8965-001x9000-001,2018,HCRS,12,11,4,3,,0,,5,6,6,tweener red swuarish leaf fat center lobe. nice,,
9857-002,DG,8967-011,8948-001 possible self,8967-011x8948-001 possible self,2018,HCRS,,,,,,,,,,bronze meatball illusion.,,,
9857-014,DG,8967-011,8948-001 possible self,8967-011x8948-001 possible self,2018,HCRS,1,11,5,3;4,,0,,5,6,5,dark tweener. x into thinner lobes with lighter color,,
9863-001,DG,8998-002,8948-001,8998-002x8948-001,2018,HCRS,1;12,11,6,3;4,,0,,6,6,6,tweener red. ebg but still nice. repeat cross?,,
9873-009,DG,8705-028,8256-004,8705-028x8256-004,2018,HCRS,4,11,6,2;4,,,,5,4,5,savoy tex. vg savoy. poor color x into sny red Savoy with color,,
9875-001,DG,7954-002,8767-004,7954-002x8767-004,2018,HCRS,,,,,,,,,,half lime,,,
9875-003,DG,,,,2018,HCRS,4,2,3,3;6,,0,,6,7,5,savoy green heart.very good savoy. half lime.,,
9877-001,DG,7954-002,8842-070,7954-002x8842-070,2018,HCRS,4,6,3,3;4,,0,,4,4,4,jim pick. sc with fine savou poor color. thick stems. x to darker savoy ,,
9879-002,DG,8226-084,8698-005,8226-084x8698-005,2018,HCRS,10,6,4,3;4,,0,,3,4,4,purple with teerh updight tips food teeth. half lime. x into red,,
9881-002,DG,,,,2018,HCRS,4,2,4,2;5,,0,,5,6,6,savoy green. half lime. excellent savoy.tips marbled bronze.,,
9881-003,DG,,,,2018,HCRS,4,2,4,2;5,,0,,5,5,5,green heart with some teeth. excellent savoy. half lime. nice,,
9883-004,DG,,,,2018,HCRS,4,1,5,3;4,,0,,7,5,5,lime davou.bgood vigor and branching okay savoy. some bleaching,,
9885-012,DG,8842-040,7954-002,8842-040x7954-002,2018,HCRS,4,6,4,3;4,,0,,6,4,5,purple heart with teeth. vg savoy.bx into purple savoy.,,
9900-001,DG,8061-016,9000-001,8061-016x9000-001,2018,HCRS,12;1,11,4,3;4,,0,,5,7,6,dark tweenet rer. excellent color. x to meatball illusion,,
9910-001,DG,8998-004,8928-002,8998-004x8928-002,2018,HCRS,1,11,6,3;4,,0,,7,7,6,tweener red. datk slight ebg but nice overall,,
9914-001,DG,9000-001,8834-004,9000-001x8834-004,2018,HCRS,10,11,5,3;4,,0,,6,5,6,half red bw small leaf good plant habit ebg. vg got half red. x onto any good red with teeth.,,
9916-001,DG,9001-001,8965-001,9001-001x8965-001,2018,HCRS,3,11,4,3;4,,3,,6,6,7,graft. adv. vg red heart with excellent color.,,
9919-001,DG,8733-010,9032-010,8733-010x9032-010,2018,HCRS,2,10,4,3;4,,0,,4,4,5,graft x to 9045-003.adv? red heart eith good tone. ebb. x to any good red heart. ,,
9927-001,DG,9032-010,8734-004,9032-010x8734-004,2018,HCRS,3,11,7,2;4,,0,,5,5,6,nice red heart. good color but ebg. thin stems. advanced? repeat cross.,,
9929-001,DG,9032-010,9034-001,9032-010x9034-001,2018,HCRS,3,11,3,3;4,,0,,4,6,5,sh red with vg coor. por branching and habit. x to good habit,,
9929-002,DG,9032-010,9034-001,9032-010x9034-001,2018,HCRS,3,11,5,3;4,,0,,6,7,7,sh red excelent color good habit.bleaf margin curls slightly. send advanced. meri +1,,
9930-002,DG,9032-010,9045-003,9032-010x9045-003,2018,HCRS,3,11,5,3;4,,0,,4,4,4,small red heart good clor rarly but losing it now. x into good colir to control habit..,,
9933-001,DG,9045-003,8734-004,9045-003x8734-004,2018,HCRS,3,11,4,2;4,,0,,4,7,6,nice dark red hesrt. loe vigor but exvellent uniformity.  x to all red hearts,,
9936-002,DG,9122-030,8734-004,9122-030x8734-004,2018,HCRS,3,11,3,3,,0,,6,6,6,very nice dark red heart. good color. poor habit. x to all red hearts,,
9426-001,DG,7462-024,OP Poly,7462-024xOP Poly,2012,HCRS,4,var,4,3;4,,5,,4,0,5,var purp hasnt broken yet. variable leaf  shapes . flowers  ebg,,
9426-005,DG,7462-024,OP Poly,7462-024xOP Poly,2012,HCRS,4,p3,4,3;4,,3,,4,0,6,nice mwrgin type with slightly  lobed  leaves. margin is best om immature  leaves loses it in older ones. x into best colored reds.,,
9426-024,DG,7462-024,OP Poly,7462-024xOP Poly,2012,HCRS,4,p2,5,4;6,,10,,7,6,5,lobed to hastate purple. needs color and better habit. breeding only.,,
9427-009,DG,8107-003,OP ADV,8107-003xOP ADV,2012,HCRS,3,p2,4,3;4,,5,,7,6,5,dark purple hesrt. needs better color and habit. breeding only.,,
9427-012,DG,8107-003,OP ADV,8107-003xOP ADV,2012,HCRS,11;10;4,p2,5,3;4,,3,,5,6,5,purple with variable lobed.color okay habit good. rough savoy,,
9427-020,DG,8107-003,OP ADV,8107-003xOP ADV,2012,HCRS,3,p3,4,3;4,,5,,5,6,6,nice dark heart with some savoy. use for color.,,
9427-034,DG,8107-003,OP ADV,8107-003xOP ADV,2012,HCRS,3;4,p2,5,3;4,,5,,5,7,6,nice dark purple heart with savoy. jim pick,,
9428-007,DG,8217-028,OP ADV,8217-028xOP ADV,2012,HCRS,4,p2,6,3;4,,6,,6,5,6,very cool lobed purple. leag edge is ruffled/serrated. very cool. unique  ,,
9429-007,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,10;12;4,p1,4,3;4,,0,,5,5,5,bw purp with variable teeth and lobes. rough savoy.,,
9429-009,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,4,p2,3,3;4,,0,,4,6,4,"purple  with  variable  leaves, some savoy. use for hastate? ken pick  ",,
9429-020,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,4,p3,5,3;,,5,,6,6,6,hadtate purpke with savoy. thinner stems than most savoy.,,
9429-021,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,4;12,p3,5,3;4,,0,,5,5,5,purple with sulphur type lobes variable . some cupping and savoy. jim pick. nice.,,
9429-024,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,4,p2,6,3;4,,0,,6,6,5,almost hastate lobed purple with sacvoy. breeding only.,,
9429-032,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,11,p3,4,3;4,,5,,5,6,6,cool purple with cupping crown leaf rough savoy. nice.,,
9429-037,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,4,p2,4,3;4,,0,,4,6,4,purpke with highly variable  leaves. good savoy. some frosting,,
9429-039,DG,8226-071,OP CRW,8226-071xOP CRW,2012,HCRS,4,p3,4,3;4,,0,,4,6,5,dark lobed purple. use for hsstate crosses.,,
